iteration,mtow_guess_kg,new_mtow_kg,delta_kg,empty_mass_kg,fuel_mass_kg,payload_mass_kg,total_fuel_consumed
0,10241.685916,10481.685792,239.999876,4970.555016,271.130776,5000.000000,271.130776
1,10481.685792,10537.576141,55.890349,5021.820245,275.755896,5000.000000,275.755896
2,10537.576141,10550.673185,13.097044,5033.830643,276.842542,5000.000000,276.842542
3,10550.673185,10553.746770,3.073584,5036.649066,277.097703,5000.000000,277.097703
4,10553.746770,10554.468319,0.721549,5037.310706,277.157613,5000.000000,277.157613
5,10554.468319,10554.637722,0.169403,5037.466044,277.171678,5000.000000,277.171678
6,10554.637722,10554.677495,0.039773,5037.502514,277.174981,5000.000000,277.174981
7,10554.677495,10554.686833,0.009338,5037.511077,277.175756,5000.000000,277.175756
8,10554.686833,10554.689025,0.002192,5037.513087,277.175938,5000.000000,277.175938
9,10554.689025,10554.689540,0.000515,5037.513559,277.175981,5000.000000,277.175981
